time,EEG Fp1-REF,EEG Fp2-REF,EEG F3-REF,EEG F4-REF,EEG C3-REF,EEG C4-REF,EEG P3-REF,EEG P4-REF,EEG O1-REF,EEG O2-REF,EEG F7-REF,EEG F8-REF,EEG T3-REF,EEG T4-REF,EEG T5-REF,EEG T6-REF,EEG Fz-REF,EEG Cz-REF,EEG Pz-REF,ECG EKG-REF,Resp Effort-REF
59,-2.743079882198749,-2.285316568498991,1.834553254798839,-1.2172021698662199,2.9026676534316094,-1.0646143986329673,2.9026676534316094,-0.4542633136999553,-0.9120266273997142,-5.031896450697544,-2.5904921109654966,-2.8956676534320023,-3.048255424665256,-5.794835306863807,-1.9801410260324848,-1.827553254799232,1.2242021698658272,0.15608777123305648,4.886308679463898,39.98149606311207,-178.98195565660592
62,-2.437904339732244,-1.0646143986329673,1.0716143986325743,-1.5223777123327258,2.7500798821983556,-1.5223777123327258,2.7500798821983556,-0.4542633136999553,-1.674965483565979,-5.642247535630556,-2.5904921109654966,-2.8956676534320023,-3.048255424665256,-3.2008431958985084,-1.827553254799232,-1.369789941099473,1.0716143986325743,0.15608777123305648,4.275957594530887,38.150442808313045,-178.21901680043965
66,-1.674965483565979,0.0034999999998035487,1.0716143986325743,-1.2172021698662199,2.597492110965104,-1.369789941099473,2.7500798821983556,-0.4542633136999553,-1.9801410260324848,-6.252598620563568,-2.132728797265738,-2.5904921109654966,-2.8956676534320023,-0.3016755424667024,-1.2172021698662199,-1.9801410260324848,1.2242021698658272,0.0034999999998035487,3.5130187383646216,34.64092406994823,-178.82936788537262
70,-1.674965483565979,-0.6068510849332083,1.529377712332333,-0.6068510849332083,2.7500798821983556,-0.6068510849332083,2.9026676534316094,-0.1490877712334494,-1.674965483565979,-6.40518639179682,-1.674965483565979,-2.437904339732244,-2.5904921109654966,-0.7594388561664611,-1.2172021698662199,-2.743079882198749,1.3767899410990798,0.0034999999998035487,3.0552554246648627,29.75811539048412,-178.82936788537262
74,-2.8956676534320023,-2.437904339732244,1.529377712332333,-0.7594388561664611,2.597492110965104,-0.3016755424667024,3.0552554246648627,-0.6068510849332083,-1.2172021698662199,-6.100010849330316,-1.674965483565979,-2.8956676534320023,-2.8956676534320023,-1.827553254799232,-1.9801410260324848,-2.743079882198749,1.0716143986325743,0.15608777123305648,3.5130187383646216,26.401184423352564,-178.3716045716729
78,-4.4215453657645325,-3.048255424665256,1.834553254798839,-1.5223777123327258,2.4449043397318513,-0.7594388561664611,2.9026676534316094,-0.6068510849332083,-1.5223777123327258,-5.794835306863807,-1.827553254799232,-3.048255424665256,-4.116369823298026,-1.0646143986329673,-2.437904339732244,-1.674965483565979,0.9190266273993212,0.0034999999998035487,4.123369823297634,25.94342110965281,-178.5241923429061
82,-2.437904339732244,-1.369789941099473,1.834553254798839,-1.9801410260324848,2.9026676534316094,-1.2172021698662199,2.597492110965104,0.0034999999998035487,-2.285316568498991,-5.642247535630556,-1.674965483565979,-2.5904921109654966,-5.33707199316405,-0.4542633136999553,-2.437904339732244,-0.7594388561664611,0.9190266273993212,-0.3016755424667024,3.97078205206438,25.180482253486538,-178.5241923429061
86,1.987141026032092,0.6138510849328154,1.2242021698658272,-1.5223777123327258,3.0552554246648627,-1.369789941099473,2.7500798821983556,0.4612633136995624,-2.743079882198749,-6.252598620563568,-1.5223777123327258,-2.285316568498991,-4.726720908231037,-0.4542633136999553,-2.132728797265738,-0.7594388561664611,1.2242021698658272,-0.1490877712334494,3.0552554246648627,21.213200201421962,-177.9138412579731
90,2.597492110965104,1.0716143986325743,1.3767899410990798,-0.6068510849332083,3.2078431958981155,-0.3016755424667024,3.5130187383646216,0.7664388561660683,-1.827553254799232,-6.100010849330316,-1.0646143986329673,-1.674965483565979,-1.827553254799232,0.4612633136995624,-1.5223777123327258,-0.6068510849332083,1.529377712332333,0.15608777123305648,3.5130187383646216,16.635567064424375,-177.60866571550662
94,-0.3016755424667024,-0.1490877712334494,2.292316568498598,0.0034999999998035487,3.6656065095978745,0.9190266273993212,3.97078205206438,0.7664388561660683,-0.4542633136999553,-4.4215453657645325,-0.3016755424667024,-0.9120266273997142,0.15608777123305648,0.9190266273993212,-1.369789941099473,0.15608777123305648,1.834553254798839,0.0034999999998035487,4.886308679463898,13.888987182225824,-177.60866571550662
98,-1.369789941099473,-1.0646143986329673,2.9026676534316094,-0.7594388561664611,3.2078431958981155,0.15608777123305648,3.3604309671313684,0.4612633136995624,-0.6068510849332083,-3.9637820520647726,-0.7594388561664611,-1.0646143986329673,-0.7594388561664611,0.0034999999998035487,-1.5223777123327258,0.9190266273993212,1.6819654835655862,-0.1490877712334494,5.191484221930403,12.21052169866004,-177.30349017304007
102,0.30867554246630946,-0.4542633136999553,2.597492110965104,-1.2172021698662199,2.9026676534316094,-0.9120266273997142,3.0552554246648627,0.6138510849328154,-1.5223777123327258,-4.26895759453128,-1.0646143986329673,-1.5223777123327258,-1.369789941099473,-0.4542633136999553,-1.369789941099473,1.3767899410990798,1.529377712332333,0.15608777123305648,3.97078205206438,11.142407300027271,-177.45607794427337
105,1.529377712332333,1.0716143986325743,2.597492110965104,-0.3016755424667024,3.2078431958981155,-0.3016755424667024,3.97078205206438,1.3767899410990798,-1.369789941099473,-4.116369823298026,-0.6068510849332083,-0.7594388561664611,0.0034999999998035487,0.30867554246630946,-0.7594388561664611,1.987141026032092,2.1397287972653447,0.30867554246630946,2.9026676534316094,9.921705130161246,-177.76125348673992
109,1.0716143986325743,1.834553254798839,2.4449043397318513,0.4612633136995624,3.8181942808311273,0.7664388561660683,4.7337209082306435,1.6819654835655862,-0.4542633136999553,-3.6586065095982674,-0.3016755424667024,0.30867554246630946,0.4612633136995624,0.6138510849328154,-0.6068510849332083,2.292316568498598,2.597492110965104,0.15608777123305648,2.7500798821983556,6.717361934262934,-177.45607794427337
113,-0.7594388561664611,0.30867554246630946,2.597492110965104,0.0034999999998035487,3.97078205206438,0.7664388561660683,4.5811331369973916,1.0716143986325743,0.30867554246630946,-3.6586065095982674,-0.6068510849332083,0.15608777123305648,-0.4542633136999553,-0.1490877712334494,-1.2172021698662199,2.292316568498598,2.292316568498598,0.0034999999998035487,3.5130187383646216,3.0552554246648627,-176.99831463057362
117,-1.674965483565979,-0.7594388561664611,3.0552554246648627,-0.7594388561664611,4.275957594530887,0.6138510849328154,4.275957594530887,1.0716143986325743,0.30867554246630946,-3.3534309671317617,-0.9120266273997142,-0.9120266273997142,-0.6068510849332083,-1.674965483565979,-1.5223777123327258,2.9026676534316094,1.987141026032092,0.0034999999998035487,4.428545365764139,0.7664388561660683,-176.84572685934037
121,-0.3016755424667024,0.15608777123305648,3.6656065095978745,-0.9120266273997142,4.7337209082306435,0.7664388561660683,4.428545365764139,1.987141026032092,0.15608777123305648,-2.8956676534320023,-0.4542633136999553,-0.7594388561664611,0.0034999999998035487,-1.674965483565979,-0.9120266273997142,4.123369823297634,2.4449043397318513,0.4612633136995624,4.428545365764139,-1.9801410260324848,-176.84572685934037
125,1.0716143986325743,2.292316568498598,3.6656065095978745,-0.4542633136999553,4.886308679463898,0.4612633136995624,4.5811331369973916,2.292316568498598,-0.3016755424667024,-2.8956676534320023,0.30867554246630946,-0.1490877712334494,0.0034999999998035487,0.30867554246630946,-0.4542633136999553,4.428545365764139,3.2078431958981155,0.4612633136995624,2.9026676534316094,-5.947423078097062,-176.54055131687386
129,0.7664388561660683,2.1397287972653447,3.5130187383646216,0.15608777123305648,4.5811331369973916,0.0034999999998035487,4.5811331369973916,1.987141026032092,-0.6068510849332083,-3.2008431958985084,0.6138510849328154,-0.3016755424667024,-0.7594388561664611,1.6819654835655862,-0.9120266273997142,3.3604309671313684,3.2078431958981155,0.15608777123305648,1.6819654835655862,-8.999178502762119,-176.38796354564064
133,-0.4542633136999553,0.30867554246630946,3.3604309671313684,0.15608777123305648,4.886308679463898,0.30867554246630946,4.123369823297634,1.3767899410990798,-0.1490877712334494,-3.3534309671317617,0.15608777123305648,-0.9120266273997142,-1.369789941099473,1.529377712332333,-1.2172021698662199,2.7500798821983556,2.7500798821983556,0.0034999999998035487,2.597492110965104,-10.067292901394893,-176.23537577440737
137,-1.5223777123327258,-1.2172021698662199,3.2078431958981155,-0.6068510849332083,4.886308679463898,0.30867554246630946,3.5130187383646216,0.7664388561660683,-0.3016755424667024,-3.2008431958985084,-1.0646143986329673,-1.369789941099473,-1.0646143986329673,0.9190266273993212,-1.827553254799232,3.2078431958981155,2.1397287972653447,0.0034999999998035487,3.5130187383646216,-10.067292901394893,-176.0827880031741
141,-1.5223777123327258,-0.7594388561664611,2.4449043397318513,-1.5223777123327258,3.97078205206438,-0.4542633136999553,2.4449043397318513,0.6138510849328154,-1.2172021698662199,-3.2008431958985084,-1.674965483565979,-1.369789941099473,-0.6068510849332083,0.4612633136995624,-2.285316568498991,3.6656065095978745,1.3767899410990798,0.15608777123305648,2.597492110965104,-11.135407300027662,-175.7776124607076
145,-0.6068510849332083,0.7664388561660683,1.2242021698658272,-1.827553254799232,3.0552554246648627,-1.0646143986329673,2.292316568498598,0.6138510849328154,-2.437904339732244,-3.9637820520647726,-0.9120266273997142,-1.5223777123327258,-0.7594388561664611,-1.2172021698662199,-2.437904339732244,3.3604309671313684,1.3767899410990798,0.30867554246630946,1.2242021698658272,-14.034574953459467,-175.93020023194083
148,-0.6068510849332083,1.6819654835655862,0.7664388561660683,-1.2172021698662199,3.0552554246648627,-0.6068510849332083,3.2078431958981155,0.9190266273993212,-2.5904921109654966,-4.26895759453128,-0.3016755424667024,-0.9120266273997142,-0.9120266273997142,-3.6586065095982674,-1.5223777123327258,2.7500798821983556,1.834553254798839,0.15608777123305648,1.987141026032092,-18.612208090457045,-176.0827880031741
152,-1.674965483565979,0.4612633136995624,1.6819654835655862,-0.7594388561664611,3.2078431958981155,0.15608777123305648,3.6656065095978745,1.2242021698658272,-1.674965483565979,-3.2008431958985084,-0.4542633136999553,-0.1490877712334494,-0.3016755424667024,-2.743079882198749,-1.2172021698662199,2.7500798821983556,1.987141026032092,-0.3016755424667024,3.3604309671313684,-22.57949014252164,-175.7776124607076
156,-1.827553254799232,-1.0646143986329673,1.987141026032092,-1.0646143986329673,2.597492110965104,0.0034999999998035487,3.0552554246648627,0.9190266273993212,-1.674965483565979,-2.743079882198749,-1.369789941099473,-0.6068510849332083,-0.3016755424667024,1.0716143986325743,-2.132728797265738,3.2078431958981155,1.2242021698658272,-0.3016755424667024,3.5130187383646216,-23.342428998687897,-175.31984914700783
160,-0.7594388561664611,-1.369789941099473,1.3767899410990798,-1.674965483565979,2.1397287972653447,-1.0646143986329673,2.1397287972653447,0.0034999999998035487,-2.8956676534320023,-3.048255424665256,-2.132728797265738,-1.5223777123327258,-1.369789941099473,2.4449043397318513,-2.8956676534320023,3.6656065095978745,0.6138510849328154,0.15608777123305648,1.987141026032092,-23.800192312387647,-175.62502468947434
164,0.15608777123305648,-0.1490877712334494,0.9190266273993212,-2.132728797265738,1.987141026032092,-1.674965483565979,1.834553254798839,-0.4542633136999553,-3.81119428083152,-3.6586065095982674,-1.827553254799232,-1.5223777123327258,-2.132728797265738,0.15608777123305648,-3.2008431958985084,3.5130187383646216,0.6138510849328154,0.4612633136995624,0.15608777123305648,-27.61488659321898,-176.0827880031741
168,0.0034999999998035487,0.9190266273993212,1.0716143986325743,-1.5223777123327258,2.597492110965104,-1.2172021698662199,2.597492110965104,0.15608777123305648,-3.048255424665256,-3.5060187383650145,-0.9120266273997142,-0.9120266273997142,-1.369789941099473,-0.6068510849332083,-2.5904921109654966,2.7500798821983556,1.0716143986325743,0.4612633136995624,-0.3016755424667024,-31.429580874050302,-175.93020023194083
172,-1.369789941099473,-0.1490877712334494,1.2242021698658272,-0.9120266273997142,2.9026676534316094,-0.4542633136999553,3.2078431958981155,0.4612633136995624,-1.674965483565979,-2.5904921109654966,-0.6068510849332083,-0.7594388561664611,-0.6068510849332083,0.7664388561660683,-2.285316568498991,2.4449043397318513,1.3767899410990798,0.0034999999998035487,1.2242021698658272,-30.361466475417533,-175.31984914700783
176,-1.5223777123327258,-2.132728797265738,0.4612633136995624,-1.827553254799232,2.4449043397318513,-1.0646143986329673,2.292316568498598,-0.1490877712334494,-1.674965483565979,-2.5904921109654966,-1.2172021698662199,-1.827553254799232,-1.2172021698662199,0.6138510849328154,-3.048255424665256,2.597492110965104,0.6138510849328154,0.0034999999998035487,1.987141026032092,-27.46229882198573,-174.8620858333081
180,0.30867554246630946,-2.743079882198749,0.30867554246630946,-3.3534309671317617,2.1397287972653447,-2.132728797265738,1.0716143986325743,-0.4542633136999553,-2.8956676534320023,-3.5060187383650145,-1.674965483565979,-3.2008431958985084,-1.9801410260324848,-0.9120266273997142,-3.81119428083152,2.597492110965104,-0.1490877712334494,0.15608777123305648,1.3767899410990798,-26.699359965819465,-174.70949806207486
184,1.6819654835655862,-1.0646143986329673,1.0716143986325743,-3.048255424665256,2.597492110965104,-1.9801410260324848,1.529377712332333,0.0034999999998035487,-3.81119428083152,-3.81119428083152,-1.0646143986329673,-2.5904921109654966,-1.674965483565979,-0.7594388561664611,-3.5060187383650145,2.4449043397318513,0.30867554246630946,0.30867554246630946,0.9190266273993212,-26.39418442335296,-174.40432251960831
188,1.0716143986325743,0.4612633136995624,1.2242021698658272,-1.827553254799232,3.0552554246648627,-1.2172021698662199,2.597492110965104,0.30867554246630946,-3.3534309671317617,-3.5060187383650145,-0.1490877712334494,-1.369789941099473,-1.369789941099473,-0.3016755424667024,-2.743079882198749,2.1397287972653447,1.3767899410990798,0.15608777123305648,0.7664388561660683,-23.800192312387647,-174.09914697714183
191,-0.3016755424667024,-0.1490877712334494,0.6138510849328154,-1.5223777123327258,2.9026676534316094,-0.6068510849332083,2.597492110965104,-0.1490877712334494,-2.437904339732244,-3.048255424665256,-0.6068510849332083,-1.0646143986329673,-1.5223777123327258,-1.0646143986329673,-2.8956676534320023,1.6819654835655862,1.2242021698658272,0.15608777123305648,0.9190266273993212,-20.748436887722594,-173.94655920590856
195,-1.827553254799232,-2.132728797265738,0.30867554246630946,-1.9801410260324848,2.7500798821983556,-1.0646143986329673,1.834553254798839,-0.9120266273997142,-2.437904339732244,-3.048255424665256,-1.369789941099473,-1.9801410260324848,-2.285316568498991,-2.743079882198749,-3.81119428083152,1.6819654835655862,0.30867554246630946,0.0034999999998035487,1.3767899410990798,-18.917383632923567,-173.94655920590856
199,-2.285316568498991,-2.132728797265738,0.4612633136995624,-2.437904339732244,3.2078431958981155,-1.9801410260324848,1.3767899410990798,-0.7594388561664611,-3.048255424665256,-3.3534309671317617,-1.2172021698662199,-2.437904339732244,-2.743079882198749,-3.9637820520647726,-4.726720908231037,2.4449043397318513,-0.3016755424667024,0.0034999999998035487,2.1397287972653447,-16.781154835658022,-174.09914697714183
203,-0.9120266273997142,-0.4542633136999553,0.30867554246630946,-2.437904339732244,3.3604309671313684,-2.5904921109654966,1.6819654835655862,-0.4542633136999553,-3.048255424665256,-3.3534309671317617,-0.9120266273997142,-1.9801410260324848,-2.743079882198749,-2.8956676534320023,-5.031896450697544,2.9026676534316094,0.0034999999998035487,0.15608777123305648,1.834553254798839,-14.492338267159223,-174.2517347483751
207,1.0716143986325743,0.9190266273993212,0.0034999999998035487,-1.674965483565979,2.7500798821983556,-2.285316568498991,1.834553254798839,0.0034999999998035487,-2.5904921109654966,-3.048255424665256,-1.0646143986329673,-0.6068510849332083,-2.437904339732244,-0.6068510849332083,-4.116369823298026,2.7500798821983556,0.7664388561660683,0.0034999999998035487,1.0716143986325743,-14.18716272469272,-173.94655920590856
211,1.6819654835655862,0.15608777123305648,0.30867554246630946,-0.7594388561664611,2.7500798821983556,-1.369789941099473,2.4449043397318513,0.15608777123305648,-1.827553254799232,-2.437904339732244,-1.0646143986329673,-0.4542633136999553,-2.743079882198749,0.30867554246630946,-3.6586065095982674,2.292316568498598,1.0716143986325743,-0.4542633136999553,1.2242021698658272,-15.865628208258505,-173.031032578509
215,0.15608777123305648,-1.5223777123327258,0.30867554246630946,-0.9120266273997142,3.3604309671313684,-1.369789941099473,2.292316568498598,-0.1490877712334494,-2.132728797265738,-2.285316568498991,-1.0646143986329673,-1.369789941099473,-3.81119428083152,-0.7594388561664611,-4.574133136997785,2.292316568498598,0.6138510849328154,-0.1490877712334494,2.1397287972653447,-16.47597929319151,-172.57326926480926
219,-0.7594388561664611,-2.437904339732244,-0.4542633136999553,-1.9801410260324848,3.0552554246648627,-2.5904921109654966,1.0716143986325743,-1.0646143986329673,-3.6586065095982674,-2.8956676534320023,-1.2172021698662199,-2.285316568498991,-4.726720908231037,-1.369789941099473,-5.33707199316405,2.292316568498598,0.0034999999998035487,0.4612633136995624,1.529377712332333,-16.018215979491757,-172.72585703604253
223,0.30867554246630946,-1.2172021698662199,-0.7594388561664611,-2.132728797265738,2.4449043397318513,-3.2008431958985084,0.6138510849328154,-1.0646143986329673,-4.4215453657645325,-3.5060187383650145,-0.9120266273997142,-1.827553254799232,-3.3534309671317617,-1.0646143986329673,-4.574133136997785,2.292316568498598,0.0034999999998035487,0.30867554246630946,-0.1490877712334494,-17.849269234290787,-172.57326926480926
227,1.529377712332333,1.2242021698658272,0.15608777123305648,-1.0646143986329673,2.597492110965104,-2.5904921109654966,1.6819654835655862,-0.1490877712334494,-3.2008431958985084,-3.048255424665256,0.0034999999998035487,-0.7594388561664611,-1.2172021698662199,-0.6068510849332083,-2.8956676534320023,2.597492110965104,0.9190266273993212,0.0034999999998035487,-0.3016755424667024,-21.35878797265561,-172.42068149357604
230,1.6819654835655862,1.6819654835655862,1.0716143986325743,0.0034999999998035487,3.0552554246648627,-1.369789941099473,2.292316568498598,0.30867554246630946,-1.9801410260324848,-2.285316568498991,0.15608777123305648,0.15608777123305648,-0.9120266273997142,0.0034999999998035487,-2.743079882198749,2.4449043397318513,1.529377712332333,0.0034999999998035487,0.7664388561660683,-24.715718939787177,-172.72585703604253
234,1.3767899410990798,0.0034999999998035487,0.30867554246630946,0.15608777123305648,3.0552554246648627,-1.2172021698662199,1.834553254798839,-0.1490877712334494,-1.9801410260324848,-1.9801410260324848,-0.6068510849332083,-0.3016755424667024,-1.674965483565979,0.30867554246630946,-3.81119428083152,2.4449043397318513,1.529377712332333,0.0034999999998035487,1.2242021698658272,-27.920062135685487,-172.42068149357604
238,1.2242021698658272,-0.7594388561664611,-0.3016755424667024,-0.6068510849332083,2.7500798821983556,-1.674965483565979,1.2242021698658272,-0.6068510849332083,-2.437904339732244,-1.827553254799232,-0.4542633136999553,-0.9120266273997142,-1.5223777123327258,-0.3016755424667024,-4.26895759453128,2.9026676534316094,1.2242021698658272,0.15608777123305648,0.7664388561660683,-29.14076430555151,-171.810330408643
242,1.3767899410990798,0.4612633136995624,-0.1490877712334494,-1.369789941099473,3.0552554246648627,-2.285316568498991,1.0716143986325743,-0.1490877712334494,-3.2008431958985084,-1.9801410260324848,0.0034999999998035487,-1.0646143986329673,-1.369789941099473,-1.369789941099473,-4.116369823298026,2.9026676534316094,0.6138510849328154,0.15608777123305648,0.15608777123305648,-27.309711050752476,-171.96291817987625
246,1.529377712332333,1.987141026032092,0.30867554246630946,-1.0646143986329673,3.3604309671313684,-2.132728797265738,1.2242021698658272,0.15608777123305648,-3.3534309671317617,-2.285316568498991,0.30867554246630946,-0.6068510849332083,-1.5223777123327258,-2.743079882198749,-3.5060187383650145,2.7500798821983556,0.9190266273993212,0.0034999999998035487,0.0034999999998035487,-26.08900888088645,-171.96291817987625
250,1.2242021698658272,1.987141026032092,1.0716143986325743,0.15608777123305648,3.97078205206438,-1.2172021698662199,1.6819654835655862,0.4612633136995624,-2.132728797265738,-1.827553254799232,0.6138510849328154,0.30867554246630946,-0.7594388561664611,-3.9637820520647726,-2.8956676534320023,2.9026676534316094,1.987141026032092,0.0034999999998035487,0.6138510849328154,-27.004535508285965,-171.35256709494325
254,-0.9120266273997142,0.4612633136995624,1.3767899410990798,0.4612633136995624,3.8181942808311273,-0.6068510849332083,2.4449043397318513,0.30867554246630946,-0.6068510849332083,-1.0646143986329673,0.6138510849328154,0.30867554246630946,-0.3016755424667024,-2.743079882198749,-2.743079882198749,3.2078431958981155,2.292316568498598,0.30867554246630946,1.2242021698658272,-27.15712327951922,-170.74221601001025
258,-1.827553254799232,-0.7594388561664611,0.6138510849328154,-0.9120266273997142,3.2078431958981155,-1.827553254799232,1.987141026032092,-0.1490877712334494,-1.0646143986329673,-1.369789941099473,0.30867554246630946,-0.9120266273997142,-0.9120266273997142,0.30867554246630946,-3.3534309671317617,3.3604309671313684,1.2242021698658272,0.4612633136995624,1.3767899410990798,-24.715718939787177,-170.74221601001025
262,0.9190266273993212,0.0034999999998035487,-0.1490877712334494,-1.9801410260324848,2.292316568498598,-3.2008431958985084,1.0716143986325743,-0.3016755424667024,-2.285316568498991,-2.285316568498991,0.15608777123305648,-1.5223777123327258,-1.827553254799232,1.2242021698658272,-3.6586065095982674,3.2078431958981155,0.6138510849328154,0.30867554246630946,0.4612633136995624,-20.138085802789586,-170.74221601001025
266,3.2078431958981155,1.834553254798839,0.30867554246630946,-1.5223777123327258,1.987141026032092,-2.743079882198749,1.0716143986325743,0.15608777123305648,-2.437904339732244,-2.5904921109654966,0.6138510849328154,-0.9120266273997142,-1.369789941099473,-0.7594388561664611,-3.2008431958985084,2.7500798821983556,0.9190266273993212,0.30867554246630946,-0.6068510849332083,-15.865628208258505,-170.58962823877698
